x solution sorted as :  1 x y x2 xy y2

 phi[0] =     -10.33  phi[1] =        2.5  phi[2] =      4.167 
 phi[3] =      -0.25  phi[4] =          0  phi[5] =    -0.6944 

 Log_intensity =    -10.33 +       2.5 * xx +     4.167 * yy +     -0.25 * xx * xx 
  +         0 * xx * yy +   -0.6944 * yy^2 
x, y, Log_Intensity, Computed_Gaussian, residual 
        0         0     -10.33      -10.33 -1.432e-07
        1         0     -8.075      -8.075 -1.129e-07
        2         0     -6.325      -6.325 -1.353e-07
        3         0     -5.075      -5.075 -1.049e-07
        4         0     -4.325      -4.325 -1.212e-07
        5         0     -4.075      -4.075 -9.588e-08
        6         0     -4.325      -4.325 -1.212e-07
        7         0     -5.075      -5.075 -1.049e-07
        0         1     -6.853      -6.853 -3.713e-09
        1         1     -4.603      -4.603 -3.868e-08
        2         1     -2.853      -2.853 -6.681e-08
        3         1     -1.603      -1.603 -6.788e-08
        4         1    -0.8529     -0.8529  3.585e-09
        5         1    -0.6029     -0.6029 -1.474e-09
        6         1    -0.8529     -0.8529  3.585e-09
        7         1     -1.603      -1.603  5.133e-08
        0         2      -4.77       -4.77  1.234e-07
        1         2      -2.52       -2.52 -8.382e-08
        2         2    -0.7696     -0.7696  4.898e-08
        3         2     0.4804      0.4804  5.733e-09
        4         2       1.23        1.23  2.414e-09
        5         2       1.48        1.48  1.628e-08
        6         2       1.23        1.23  2.414e-09
        7         2     0.4804      0.4804  6.534e-08
        0         3     -4.075      -4.075 -9.588e-08
        1         3     -1.825      -1.825  1.312e-08
        2         3   -0.07515    -0.07515  1.387e-08
        3         3      1.175       1.175 -7.179e-09
        4         3      1.925       1.925  2.418e-08
        5         3      2.175       2.175  1.308e-07
        6         3      1.925       1.925  1.434e-07
        7         3      1.175       1.175   1.12e-07
        0         4      -4.77       -4.77  1.234e-07
        1         4      -2.52       -2.52 -8.382e-08
        2         4    -0.7696     -0.7696 -1.062e-08
        3         4     0.4804      0.4804 -2.407e-08
        4         4       1.23        1.23  2.414e-09
        5         4       1.48        1.48  1.628e-08
        6         4       1.23        1.23  2.414e-09
        7         4     0.4804      0.4804  6.534e-08
        0         5     -6.853      -6.853 -3.713e-09
        1         5     -4.603      -4.603 -3.868e-08
        2         5     -2.853      -2.853 -6.681e-08
        3         5     -1.603      -1.603 -6.788e-08
        4         5    -0.8529     -0.8529 -5.602e-08
        5         5    -0.6029     -0.6029 -6.108e-08
        6         5    -0.8529     -0.8529  3.585e-09
        7         5     -1.603      -1.603  5.133e-08
        0         6     -10.33      -10.33 -1.432e-07
        1         6     -8.075      -8.075 -1.129e-07
        2         6     -6.325      -6.325 -1.353e-07
        3         6     -5.075      -5.075 -1.049e-07
        4         6     -4.325      -4.325 -1.212e-07
        5         6     -4.075      -4.075 -9.588e-08
        6         6     -4.325      -4.325 -1.212e-07
        7         6     -5.075      -5.075 -1.049e-07
        0         7     -15.19      -15.19  2.885e-07
        1         7     -12.94      -12.94  3.048e-07
        2         7     -11.19      -11.19  2.805e-07
        3         7     -9.936      -9.936  3.385e-07
        4         7     -9.186      -9.186  2.736e-07
        5         7     -8.936      -8.936  3.376e-07
        6         7     -9.186      -9.186  2.736e-07
        7         7     -9.936      -9.936  3.385e-07
